title,start,end,journal,month,year,vol,issue
An assay for entry of secreted fungal effectors into plant cells,956,964,New Phytologist,January,2017,213,2
Ethics in scientific publishing,5,6,New Phytologist,January,2017,213,1
Nicotiana benthamiana as a nonhost of Zymoseptoria tritici,7,9,New Phytologist,January,2017,213,1
Nitrogen transport in the orchid mycorrhizal symbiosis – further evidence for a mutualistic association,10,12,New Phytologist,January,2017,213,1
Bark thickness and fire regime: another twist,13,15,New Phytologist,January,2017,213,1
Are division plane determination and cell-cycle progression coordinated?,16,21,New Phytologist,January,2017,213,1
A roadmap for improving the representation of photosynthesis in Earth system models,22,42,New Phytologist,January,2017,213,1
"Photosynthesis: ancient, essential, complex, diverse … and in need of improvement in a changing world ",43,47,New Phytologist,January,2017,213,1
Alistair M. Hetherington,48,49,New Phytologist,January,2017,213,1
Rooting for cassava: insights into photosynthesis and associated physiology as a route to improve yield potential,50,65,New Phytologist,January,2017,213,1
Benefits from living together? Clades whose species use similar habitats may persist as a result of eco-evolutionary feedbacks,66,82,New Phytologist,January,2017,213,1
Understanding regulation of leaf internal carbon and water transport using online stable isotope techniques,83,88,New Phytologist,January,2017,213,1
Comparative phylogenomics of symbiotic associations,89,94,New Phytologist,January,2017,213,1
Regulatory function of homeodomain-leucine zipper (HD-ZIP) family proteins during embryogenesis,95,104,New Phytologist,January,2017,213,1
Control of Arabidopsis lateral root primordium boundaries by MYB36,105,112,New Phytologist,January,2017,213,1
Plant hydraulics improves and topography mediates prediction of aspen mortality in southwestern USA,113,127,New Phytologist,January,2017,213,1
Invasive species’ leaf traits and dissimilarity from natives shape their impact on nitrogen cycling: a meta-analysis,128,139,New Phytologist,January,2017,213,1
Seasonal variations drive short-term dynamics and partitioning of recently assimilated carbon in the foliage of adult beech and pine,140,153,New Phytologist,January,2017,213,1
Genome-wide associations with flowering time in switchgrass using exome-capture sequencing data,154,169,New Phytologist,January,2017,213,1
Wood traits related to size and life history of trees in a Panamanian rainforest,170,180,New Phytologist,January,2017,213,1
A global meta-analysis of soil phosphorus dynamics after afforestation,181,192,New Phytologist,January,2017,213,1
Shuttling of (deoxy-) purine nucleotides between compartments of the diatom Phaeodactylum tricornutum,193,205,New Phytologist,January,2017,213,1
Adaptive evolution and functional innovation of Populus-specific recently evolved microRNAs,206,219,New Phytologist,January,2017,213,1
The loss of vernalization requirement in narrow-leafed lupin is associated with a deletion in the promoter and de-repressed expression of a Flowering Locus T (FT) homologue,220,232,New Phytologist,January,2017,213,1
Brassinosteriod Insensitive 2 (BIN2) acts as a downstream effector of the Target of Rapamycin (TOR) signaling pathway to regulate photoautotrophic growth in Arabidopsis,233,249,New Phytologist,January,2017,213,1
The class III peroxidase PRX17 is a direct target of the MADS-box transcription factor AGAMOUS-LIKE15 (AGL15) and participates in lignified tissue formation,250,263,New Phytologist,January,2017,213,1
"A grapevine cytochrome P450 generates the precursor of wine lactone, a key odorant in wine ",264,274,New Phytologist,January,2017,213,1
ABNORMAL VASCULAR BUNDLES regulates cell proliferation and procambium cell establishment during aerial organ development in rice,275,286,New Phytologist,January,2017,213,1
The Eucalyptus linker histone variant EgH1.3 cooperates with the transcription factor EgMYB1 to control lignin biosynthesis during wood formation,287,299,New Phytologist,January,2017,213,1
Development of the photosynthetic apparatus of Cunninghamia lanceolata in light and darkness,300,313,New Phytologist,January,2017,213,1
RSL class I genes positively regulate root hair development in Oryza sativa,314,323,New Phytologist,January,2017,213,1
Transcriptome response of Lolium arundinaceum to its fungal endophyte Epichloë coenophiala,324,337,New Phytologist,January,2017,213,1
Apoplastic recognition of multiple candidate effectors from the wheat pathogen Zymoseptoria tritici in the nonhost plant Nicotiana benthamiana,338,350,New Phytologist,January,2017,213,1
Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,351,364,New Phytologist,January,2017,213,1
Fungal and plant gene expression in the Tulasnella calospora–Serapias vomeracea symbiosis provides clues about nitrogen pathways in orchid mycorrhizas,365,379,New Phytologist,January,2017,213,1
Arbuscular mycorrhizal fungi communities from tropical Africa reveal strong ecological structure,380,390,New Phytologist,January,2017,213,1
Complete mitochondrial genomes from the ferns Ophioglossum californicum and Psilotum nudum are highly repetitive with the largest organellar introns,391,403,New Phytologist,January,2017,213,1
Postzygotic isolation varies by ploidy level within a polyploid complex,404,412,New Phytologist,January,2017,213,1
Next-generation polyploid phylogenetics: rapid resolution of hybrid polyploid complexes using PacBio single-molecule sequencing,413,429,New Phytologist,January,2017,213,1
Genetic variation for pseudo-self-compatibility in self-incompatible populations of Leavenworthia alabamica (Brassicaceae),430,439,New Phytologist,January,2017,213,1
Mating system transitions in Solanum habrochaites impact interactions between populations and species,440,454,New Phytologist,January,2017,213,1
Quantitative gene–gene and gene–environment mapping for leaf shape variation using tree-based models,455,469,New Phytologist,January,2017,213,1
Clash between the borders: spotlight on apoplastic processes in plant–microbe interactions,799,801,New Phytologist,December,2016,212,4
Too many partners in root–shoot signals. Does hydraulics qualify as the only signal that feeds back over time for reliable stomatal control?,802,804,New Phytologist,December,2016,212,4
Apoplastic fungal effectors in historic perspective; a personal view,805,813,New Phytologist,December,2016,212,4
When more is better: how data sharing would accelerate genomic selection of crop plants,814,826,New Phytologist,December,2016,212,4
Bridging evolution and development in plants,827,830,New Phytologist,December,2016,212,4
Life's a beach – the colonization of the terrestrial environment,831,835,New Phytologist,December,2016,212,4
Katie J. Field,836,837,New Phytologist,December,2016,212,4
"Pampered inside, pestered outside? Differences and similarities between plants growing in controlled conditions and in the field ",838,855,New Phytologist,December,2016,212,4
Plant volatile-mediated signalling and its application in agriculture: successes and challenges,856,870,New Phytologist,December,2016,212,4
Forest ecosystems of temperate climatic regions: from ancient use to climate change,871,887,New Phytologist,December,2016,212,4
Nine things to know about elicitins,888,895,New Phytologist,December,2016,212,4
Convergent evolution of filamentous microbes towards evasion of glycan-triggered immunity,896,901,New Phytologist,December,2016,212,4
Papain-like cysteine proteases as hubs in plant immunity,902,907,New Phytologist,December,2016,212,4
Light behind the curtain: photoregulation of nuclear architecture and chromatin dynamics in plants,908,919,New Phytologist,December,2016,212,4
Spatial and temporal specificity of Ca2+ signalling in Chlamydomonas reinhardtii in response to osmotic stress,920,933,New Phytologist,December,2016,212,4
Potential preadaptation to anthropogenic pollution: evidence from a common quantitative trait locus for zinc and cadmium tolerance in metallicolous and nonmetallicolous accessions of Arabidopsis halleri,934,943,New Phytologist,December,2016,212,4
ROOT HAIR DEFECTIVE SIX-LIKE4 (RSL4) promotes root hair elongation by transcriptionally regulating the expression of genes required for cell growth,944,953,New Phytologist,December,2016,212,4
Low levels of strigolactones in roots as a component of the systemic signal of drought stress in tomato,954,963,New Phytologist,December,2016,212,4
Trait to gene analysis reveals that allelic variation in three genes determines seed vigour,964,976,New Phytologist,December,2016,212,4
MdMyb93 is a regulator of suberin deposition in russeted apple fruit skins,977,991,New Phytologist,December,2016,212,4
Landscape genomics reveals altered genome wide diversity within revegetated stands of Eucalyptus microcarpa (Grey Box),992,1006,New Phytologist,December,2016,212,4
Does leaf shedding protect stems from cavitation during seasonal droughts? A test of the hydraulic fuse hypothesis,1007,1018,New Phytologist,December,2016,212,4
Increased phosphate uptake but not resorption alleviates phosphorus deficiency induced by nitrogen deposition in temperate Larix principis-rupprechtii plantations,1019,1029,New Phytologist,December,2016,212,4
Plant δ15N reflects the high landscape-scale heterogeneity of soil fertility and vegetation productivity in a Mediterranean semiarid ecosystem,1030,1043,New Phytologist,December,2016,212,4
Gap expansion in old-growth subarctic forests: the climate–pathogen connection,1044,1056,New Phytologist,December,2016,212,4
Trading direct for indirect defense? Phytochrome B inactivation in tomato attenuates direct anti-herbivore defenses whilst enhancing volatile-mediated attraction of predators,1057,1071,New Phytologist,December,2016,212,4
"Citizen science data reveal ecological, historical and evolutionary factors shaping interactions between woody hosts and wood-inhabiting fungi ",1072,1082,New Phytologist,December,2016,212,4
Expression-level support for gene dosage sensitivity in three Glycine subgenus Glycine polyploids and their diploid progenitors,1083,1093,New Phytologist,December,2016,212,4
The Argonaute-binding platform of NRPE1 evolves through modulation of intrinsically disordered repeats,1094,1105,New Phytologist,December,2016,212,4
Introduction to a Virtual Issue on plant senescence,531,536,New Phytologist,November,2016,212,3
What the population genetic structures of host and pathogen tell us about disease evolution,537,539,New Phytologist,November,2016,212,3
Towards unified hypotheses of the impact of polyploidy on ecological niches,540,542,New Phytologist,November,2016,212,3
Gene tagging in Physcomitrella patens: an addition to the genetic toolbox,543,545,New Phytologist,November,2016,212,3
"Mechanisms of mast seeding: resources, weather, cues, and selection ",546,562,New Phytologist,November,2016,212,3
Dark-induced leaf senescence: new insights into a complex light-dependent regulatory pathway,563,570,New Phytologist,November,2016,212,3
Epigenetic contribution to successful polyploidizations: variation in global cytosine methylation along an extensive ploidy series in Dianthus broteri (Caryophyllaceae),571,576,New Phytologist,November,2016,212,3
Pragmatic hydraulic theory predicts stomatal responses to climatic water deficits,577,589,New Phytologist,November,2016,212,3
Three times greater weight of daytime than of night-time temperature on leaf unfolding phenology in temperate trees,590,597,New Phytologist,November,2016,212,3
NtDRP is necessary for accurate zygotic division orientation and differentiation of basal cell lineage toward suspensor formation,598,612,New Phytologist,November,2016,212,3
Knockdown of strigolactone biosynthesis genes in Populus affects BRANCHED1 expression and shoot architecture,613,626,New Phytologist,November,2016,212,3
Cooperative functioning between phenylalanine ammonia lyase and isochorismate synthase activities contributes to salicylic acid biosynthesis in soybean,627,636,New Phytologist,November,2016,212,3
Loss-of-function of Arabidopsis receptor-like kinase BIR1 activates cell death and defense responses mediated by BAK1 and SOBIR1,637,645,New Phytologist,November,2016,212,3
Biological nitrification inhibition by rice root exudates and its relationship with nitrogen-use efficiency,646,656,New Phytologist,November,2016,212,3
"Taxonomic similarity, more than contact opportunity, explains novel plant–pathogen associations between native and alien taxa ",657,667,New Phytologist,November,2016,212,3
Strong phylogeographic co-structure between the anther-smut fungus and its white campion host,668,679,New Phytologist,November,2016,212,3
Deciphering the biology of deltasatellites from the New World: maintenance by New World begomoviruses and whitefly transmission,680,692,New Phytologist,November,2016,212,3
A spontaneous mutation in MutL-Homolog 3 (HvMLH3) affects synapsis and crossover resolution in the barley desynaptic mutant des10,693,707,New Phytologist,November,2016,212,3
Patterns of abiotic niche shifts in allopolyploids relative to their progenitors,708,718,New Phytologist,November,2016,212,3
An empirical test of ‘universal’ biomass scaling relationships in kelps: evidence of convergence with seed plants,719,729,New Phytologist,November,2016,212,3
Revisiting the phosphatidylethanolamine-binding protein (PEBP) gene family reveals cryptic FLOWERING LOCUS T gene homologs in gymnosperms and sheds new light on functional evolution,730,744,New Phytologist,November,2016,212,3
Challenging the paradigms of leaf evolution: Class III HD-Zips in ferns and lycophytes,745,758,New Phytologist,November,2016,212,3
Highly efficient gene tagging in the bryophyte Physcomitrella patens using the tobacco (Nicotiana tabacum) Tnt1 retrotransposon,759,769,New Phytologist,November,2016,212,3
Enzyme-driven metabolomic screening: a proof-of-principle method for discovery of plant defence compounds targeted by pathogens,770,779,New Phytologist,November,2016,212,3
High-resolution community profiling of arbuscular mycorrhizal fungi,780,791,New Phytologist,November,2016,212,3
Defining roles of tandemly arrayed CBF genes in freezing tolerance with new genome editing tools,301,302,New Phytologist,October,2016,212,2
Cellulose/callose glucan networks: the key to powdery mildew resistance in plants?,303,305,New Phytologist,October,2016,212,2
Alternative splicing – an elegant way to diversify the function of repeat-containing effector proteins?,306,309,New Phytologist,October,2016,212,2
Fine roots – functional definition expanded to crop species?,310,312,New Phytologist,October,2016,212,2
The elusive predisposition to mycoheterotrophy in Ericaceae,314,319,New Phytologist,October,2016,212,2
Molecular genetics and evolution of disease resistance in cereals,320,332,New Phytologist,October,2016,212,2
How do plants read their own shapes?,333,337,New Phytologist,October,2016,212,2
Towards integration of population and comparative genomics in forest trees,338,344,New Phytologist,October,2016,212,2
The cbfs triple mutants reveal the essential functions of CBFs in cold acclimation and allow the definition of CBF regulons in Arabidopsis,345,353,New Phytologist,October,2016,212,2
Convergent acclimation of leaf photosynthesis and respiration to prevailing ambient temperatures under current and warmer climates in Eucalyptus tereticornis,354,367,New Phytologist,October,2016,212,2
"Leaf mass per area, not total leaf area, drives differences in above-ground biomass distribution among woody plant functional types ",368,376,New Phytologist,October,2016,212,2
The growth of vegetative and reproductive structures (leaves and silks) respond similarly to hydraulic cues in maize,377,388,New Phytologist,October,2016,212,2
Scots pine fine roots adjust along a 2000-km latitudinal climatic gradient,389,399,New Phytologist,October,2016,212,2
Seedling growth responses to phosphorus reflect adult distribution patterns of tropical trees,400,408,New Phytologist,October,2016,212,2
Contrasting biodiversity–ecosystem functioning relationships in phylogenetic and functional diversity,409,420,New Phytologist,October,2016,212,2
The barley (Hordeum vulgare) cellulose synthase-like D2 gene (HvCslD2) mediates penetration resistance to host-adapted and nonhost isolates of the powdery mildew fungus,421,433,New Phytologist,October,2016,212,2
Down-regulation of the glucan synthase-like 6 gene (HvGsl6) in barley leads to decreased callose accumulation and increased cell wall penetration by Blumeria graminis f. sp. hordei,434,443,New Phytologist,October,2016,212,2
A Plasmodium-like virulence effector of the soybean cyst nematode suppresses plant innate immunity,444,460,New Phytologist,October,2016,212,2
Common mycorrhizal networks amplify competition by preferential mineral nutrient allocation to large host plants,461,471,New Phytologist,October,2016,212,2
"Symbiodinium sp. cells produce light-induced intra- and extracellular singlet oxygen, which mediates photodamage of the photosynthetic apparatus and has the potential to interact with the animal host in coral symbiosis ",472,484,New Phytologist,October,2016,212,2
Anatomical constraints to C4 evolution: light harvesting capacity in the bundle sheath,485,496,New Phytologist,October,2016,212,2
Cytokinins influence root gravitropism via differential regulation of auxin transporter expression and localization in Arabidopsis,497,509,New Phytologist,October,2016,212,2
Andean microrefugia: testing the Holocene to predict the Anthropocene,510,522,New Phytologist,October,2016,212,2
Corrigendum,523,525,New Phytologist,October,2016,212,2
New developments in the effort to model ecosystems under water stress,5,7,New Phytologist,October,2016,212,1
The geographic mosaic of plant chemistry and its effects on community and population genetic diversity,8,10,New Phytologist,October,2016,212,1
Polyploidy in a ‘living fossil’ Ginkgo biloba,11,14,New Phytologist,October,2016,212,1
Did thermophilous trees spread into central Europe during the Late Glacial?,15,18,New Phytologist,October,2016,212,1
Paleobotanical and climate data support the plausibility of temperate trees spread into central Europe during the Late Glacial,19,21,New Phytologist,October,2016,212,1
Plant microRNAs: key regulators of root architecture and biotic interactions,22,35,New Phytologist,October,2016,212,1
Chloroplast quality control – balancing energy production and stress,36,41,New Phytologist,October,2016,212,1
The auxin response factor MONOPTEROS controls meristem function and organogenesis in both the shoot and root through the direct regulation of PIN genes,42,50,New Phytologist,October,2016,212,1
Taxonomic and ecological relevance of the chlorophyll a fluorescence signature of tree species in mixed European forests,51,65,New Phytologist,October,2016,212,1
Unravelling the in vivo regulation and metabolic role of the alternative oxidase pathway in C3 species under photoinhibitory conditions,66,79,New Phytologist,October,2016,212,1
Diversity in plant hydraulic traits explains seasonal and inter-annual variations of vegetation dynamics in seasonally dry tropical forests,80,95,New Phytologist,October,2016,212,1
Interactions of Oryza sativa OsCONTINUOUS VASCULAR RING-LIKE 1 (OsCOLE1) and OsCOLE1-INTERACTING PROTEIN reveal a novel intracellular auxin transport mechanism,96,107,New Phytologist,October,2016,212,1
"N-glycan containing a core α1,3-fucose residue is required for basipetal auxin transport and gravitropic response in rice (Oryza sativa) ",108,122,New Phytologist,October,2016,212,1
A novel glucuronosyltransferase has an unprecedented ability to catalyse continuous two-step glucuronosylation of glycyrrhetinic acid to yield glycyrrhizin,123,135,New Phytologist,October,2016,212,1
Organ specificity in the plant circadian system is explained by different light inputs to the shoot and root clocks,136,149,New Phytologist,October,2016,212,1
Genetic variations and miRNA–target interactions contribute to natural phenotypic variations in Populus,150,160,New Phytologist,October,2016,212,1
A multilayered regulatory mechanism for the autoinhibition and activation of a plant CC-NB-LRR resistance protein with an extra N-terminal domain,161,175,New Phytologist,October,2016,212,1
NODULES WITH ACTIVATED DEFENSE 1 is required for maintenance of rhizobial endosymbiosis in Medicago truncatula,176,191,New Phytologist,October,2016,212,1
The Arabidopsis leaf transcriptome reveals distinct but also overlapping responses to colonization by phyllosphere commensals and pathogen infection with impact on plant health,192,207,New Phytologist,October,2016,212,1
Intraspecific phytochemical variation shapes community and population structure for specialist caterpillars,208,219,New Phytologist,October,2016,212,1
Effects of root decomposition on plant–soil feedback of early- and mid-successional plant species,220,231,New Phytologist,October,2016,212,1
EXTRA SPINDLE POLES (Separase) controls anisotropic cell expansion in Norway spruce (Picea abies) embryos independently of its role in anaphase progression,232,243,New Phytologist,October,2016,212,1
Monopodial and sympodial branching architecture in cotton is differentially regulated by the Gossypium hirsutum SINGLE FLOWER TRUSS and SELF-PRUNING orthologs,244,258,New Phytologist,October,2016,212,1
Too early and too northerly: evidence of temperate trees in northern Central Europe during the Younger Dryas,259,268,New Phytologist,October,2016,212,1
"High-throughput estimation of incident light, light interception and radiation-use efficiency of thousands of plants in a phenotyping platform ",269,281,New Phytologist,October,2016,212,1
Endoplasmic reticulum-associated N-glycan degradation of cold-upregulated glycoproteins in response to chilling stress in Arabidopsis,282,296,New Phytologist,October,2016,212,1
Connecting polyphosphate translocation and hyphal water transport points to a key of mycorrhizal functioning,1147,1149,New Phytologist,September,2016,211,4
‘Hide and seek’ is no game in a specialized ant–plant interaction,1150,1151,New Phytologist,September,2016,211,4
"On xylem hydraulic efficiencies, wood space-use and the safety–efficiency tradeoff: Comment on Gleason et al. (2016) ‘Weak tradeoff between xylem safety and xylem-specific hydraulic efficiency across the world's woody plant species’ ",1152,1155,New Phytologist,September,2016,211,4
"On research priorities to advance understanding of the safety–efficiency tradeoff in xylem: A response to Bittencourt et al.'s (2016) comment ‘On xylem hydraulic efficiencies, wood space-use and the safety–efficiency tradeoff’ ",1156,1158,New Phytologist,September,2016,211,4
Towards a multidimensional root trait framework: a tree root review,1159,1169,New Phytologist,September,2016,211,4
Hybridization and hybrid speciation under global change,1170,1187,New Phytologist,September,2016,211,4
From start to finish: amino-terminal protein modifications as degradation signals in plants,1188,1194,New Phytologist,September,2016,211,4
Can evolutionary constraints explain the rarity of nitrogen-fixing trees in high-latitude forests?,1195,1201,New Phytologist,September,2016,211,4
Aquaporin-mediated long-distance polyphosphate translocation directed towards the host in arbuscular mycorrhizal symbiosis: application of virus-induced gene silencing,1202,1208,New Phytologist,September,2016,211,4
Effects of kinetics of light-induced stomatal responses on photosynthesis and water-use efficiency,1209,1220,New Phytologist,September,2016,211,4
Habitat conditions and phenological tree traits overrule the influence of tree genotype in the needle mycobiome–Picea glauca system at an arctic treeline ecotone,1221,1231,New Phytologist,September,2016,211,4
Plants adapted to nutrient limitation allocate less biomass into stems in an arid-hot grassland,1232,1240,New Phytologist,September,2016,211,4
Spatially resolved analysis of variation in barley (Hordeum vulgare) grain micronutrient accumulation,1241,1254,New Phytologist,September,2016,211,4
Molecular speciation and tissue compartmentation of zinc in durum wheat grains with contrasting nutritional status,1255,1265,New Phytologist,September,2016,211,4
Apoplastic H2O2 plays a critical role in axillary bud outgrowth by altering auxin and cytokinin homeostasis in tomato plants,1266,1278,New Phytologist,September,2016,211,4
Multifunctional oxidosqualene cyclases and cytochrome P450 involved in the biosynthesis of apple fruit triterpenic acids,1279,1294,New Phytologist,September,2016,211,4
Comparative metabolomic analysis reveals a reactive oxygen species-dominated dynamic model underlying chilling environment adaptation and tolerance in rice,1295,1310,New Phytologist,September,2016,211,4
A pathogenic long noncoding RNA redesigns the epigenetic landscape of the infected cells by subverting host Histone Deacetylase 6 activity,1311,1322,New Phytologist,September,2016,211,4
Colletotrichum higginsianum extracellular LysM proteins play dual roles in appressorial function and suppression of chitin-triggered plant immunity,1323,1337,New Phytologist,September,2016,211,4
A symbiosis-dedicated SYNTAXIN OF PLANTS 13II isoform controls the formation of a stable host–microbe interface in symbiosis,1338,1351,New Phytologist,September,2016,211,4
The role of fungal parasites in tri-trophic interactions involving lichens and lichen-feeding snails,1352,1357,New Phytologist,September,2016,211,4
Partner choice through concealed floral sugar rewards evolved with the specialization of ant–plant mutualisms,1358,1370,New Phytologist,September,2016,211,4
Warming benefits a native species competing with an invasive congener in the presence of a biocontrol beetle,1371,1381,New Phytologist,September,2016,211,4
Temporal dynamic of parasite-mediated linkages between the forest canopy and soil processes and the microbial community,1382,1392,New Phytologist,September,2016,211,4
"Signals of speciation: volatile organic compounds resolve closely related sagebrush taxa, suggesting their importance in evolution ",1393,1401,New Phytologist,September,2016,211,4
Coevolutionary elaboration of pollination-related traits in an alpine ginger (Roscoea purpurea) and a tabanid fly in the Nepalese Himalayas,1402,1411,New Phytologist,September,2016,211,4
Homomorphic ZW chromosomes in a wild strawberry show distinctive recombination heterogeneity but a small sex-determining region,1412,1423,New Phytologist,September,2016,211,4
Identification of peanut (Arachis hypogaea) chromosomes using a fluorescence in situ hybridization system reveals multiple hybridization events during tetraploid peanut formation,1424,1439,New Phytologist,September,2016,211,4
Multiple post-domestication origins of kabuli chickpea through allelic variation in a diversification-associated transcription factor,1440,1451,New Phytologist,September,2016,211,4
Pre- and post-pollination interaction between six co-flowering Pedicularis species via heterospecific pollen transfer,1452,1461,New Phytologist,September,2016,211,4
A pulse-chase strategy for EdU labelling assay is able to rapidly quantify cell division orientation,1462,1469,New Phytologist,September,2016,211,4
Phytoplankton phenotype plasticity induced by phosphorus starvation may play a significant role in marine microbial ecology and biogeochemistry,765,766,New Phytologist,August,2016,211,3
Do stomata of evolutionary distant species differ in sensitivity to environmental signals?,767,770,New Phytologist,August,2016,211,3
Plant metabolic clusters – from genetics to genomics,771,789,New Phytologist,August,2016,211,3
"Gravitropisms and reaction woods of forest trees – evolution, functions and mechanisms ",790,802,New Phytologist,August,2016,211,3
Fleshing out facilitation – reframing interaction networks beyond top-down versus bottom-up,803,808,New Phytologist,August,2016,211,3
Roles of sucrose in guard cell regulation,809,818,New Phytologist,August,2016,211,3
No evidence of general CO2 insensitivity in ferns: one stomatal control mechanism for all land plants?,819,827,New Phytologist,August,2016,211,3
Experimental evidence for heat plume-induced cavitation and xylem deformation as a mechanism of rapid post-fire tree mortality,828,838,New Phytologist,August,2016,211,3
Are trees able to grow in periods of stem shrinkage?,839,849,New Phytologist,August,2016,211,3
Does physiological acclimation to climate warming stabilize the ratio of canopy respiration to photosynthesis?,850,863,New Phytologist,August,2016,211,3
Rhizosphere priming effect on soil organic carbon decomposition under plant species differing in soil acidification and root exudation,864,873,New Phytologist,August,2016,211,3
Production and turnover of ectomycorrhizal extramatrical mycelial biomass and necromass under elevated CO2 and nitrogen fertilization,874,885,New Phytologist,August,2016,211,3
