term,freq,journal,year
biomass,2,New Phytologist,2007
branching,1,New Phytologist,2007
brassica,3,New Phytologist,2007
burst,1,New Phytologist,2007
bv,1,New Phytologist,2007
c,1,New Phytologist,2007
ca,1,New Phytologist,2007
cadmium,3,New Phytologist,2007
caemmerer,1,New Phytologist,2007
caerulescens,1,New Phytologist,2007
calli,1,New Phytologist,2007
campestris,1,New Phytologist,2007
can,1,New Phytologist,2007
canopies,1,New Phytologist,2007
carbohydrate,1,New Phytologist,2007
carbon,2,New Phytologist,2007
carboxylase,1,New Phytologist,2007
carolinense,1,New Phytologist,2007
case,1,New Phytologist,2007
cauliflower,1,New Phytologist,2007
cause,1,New Phytologist,2007
caused,1,New Phytologist,2007
cdc,1,New Phytologist,2007
cell,1,New Phytologist,2007
cells,1,New Phytologist,2007
cellular,2,New Phytologist,2007
central,1,New Phytologist,2007
challenges,1,New Phytologist,2007
changes,4,New Phytologist,2007
changing,1,New Phytologist,2007
changiostyrax,1,New Phytologist,2007
channel,1,New Phytologist,2007
characteristics,1,New Phytologist,2007
characterize,1,New Phytologist,2007
chemical,1,New Phytologist,2007
chicory,1,New Phytologist,2007
china,1,New Phytologist,2007
chloroplasts,1,New Phytologist,2007
chondrus,1,New Phytologist,2007
chronic,1,New Phytologist,2007
citrate,1,New Phytologist,2007
cleft,1,New Phytologist,2007
climate,1,New Phytologist,2007
clonal,1,New Phytologist,2007
closely,1,New Phytologist,2007
co,5,New Phytologist,2007
cobalt,1,New Phytologist,2007
coexistence,1,New Phytologist,2007
colonization,1,New Phytologist,2007
combretaceae,1,New Phytologist,2007
common,3,New Phytologist,2007
communities,2,New Phytologist,2007
community,3,New Phytologist,2007
comparisons,1,New Phytologist,2007
compatibility,1,New Phytologist,2007
complete,1,New Phytologist,2007
composition,3,New Phytologist,2007
compositional,1,New Phytologist,2007
compounds,1,New Phytologist,2007
concentrations,1,New Phytologist,2007
conditions,1,New Phytologist,2007
confers,1,New Phytologist,2007
conifer,1,New Phytologist,2007
connection,1,New Phytologist,2007
consequences,1,New Phytologist,2007
constrained,1,New Phytologist,2007
constraint,1,New Phytologist,2007
constraints,2,New Phytologist,2007
contribution,1,New Phytologist,2007
control,1,New Phytologist,2007
controlled,2,New Phytologist,2007
convergent,1,New Phytologist,2007
coordination,1,New Phytologist,2007
cordia,1,New Phytologist,2007
costs,2,New Phytologist,2007
cotton,1,New Phytologist,2007
counting,1,New Phytologist,2007
cranberry,1,New Phytologist,2007
crispus,1,New Phytologist,2007
crop,2,New Phytologist,2007
cv,1,New Phytologist,2007
cyanobacterial,1,New Phytologist,2007
cyclic,1,New Phytologist,2007
cymbalaria,1,New Phytologist,2007
cysteine,1,New Phytologist,2007
cytosol,1,New Phytologist,2007
cytotypes,1,New Phytologist,2007
data,1,New Phytologist,2007
day,1,New Phytologist,2007
death,1,New Phytologist,2007
deciduous,1,New Phytologist,2007
decline,2,New Phytologist,2007
defence,2,New Phytologist,2007
defenses,1,New Phytologist,2007
deficiency,1,New Phytologist,2007
demographic,1,New Phytologist,2007
demographics,1,New Phytologist,2007
density,1,New Phytologist,2007
depend,1,New Phytologist,2007
dependence,1,New Phytologist,2007
dependent,1,New Phytologist,2007
depression,1,New Phytologist,2007
derived,1,New Phytologist,2007
desiccation,1,New Phytologist,2007
detection,1,New Phytologist,2007
determine,1,New Phytologist,2007
determined,1,New Phytologist,2007
development,3,New Phytologist,2007
developmental,1,New Phytologist,2007
different,3,New Phytologist,2007
differentiation,2,New Phytologist,2007
differs,1,New Phytologist,2007
dimensional,2,New Phytologist,2007
dispersal,2,New Phytologist,2007
dissemination,1,New Phytologist,2007
distance,1,New Phytologist,2007
distribution,3,New Phytologist,2007
diversity,2,New Phytologist,2007
dl,1,New Phytologist,2007
do,2,New Phytologist,2007
dolichocarpa,1,New Phytologist,2007
domain,2,New Phytologist,2007
dosage,1,New Phytologist,2007
drought,1,New Phytologist,2007
dry,1,New Phytologist,2007
dynamic,2,New Phytologist,2007
early,3,New Phytologist,2007
ecological,3,New Phytologist,2007
ecology,2,New Phytologist,2007
ecotypes,1,New Phytologist,2007
ectomycorrhizal,3,New Phytologist,2007
effect,1,New Phytologist,2007
effective,1,New Phytologist,2007
effects,5,New Phytologist,2007
elevated,2,New Phytologist,2007
embryogenesis,1,New Phytologist,2007
embryogenic,1,New Phytologist,2007
emission,1,New Phytologist,2007
endangered,1,New Phytologist,2007
engagement,1,New Phytologist,2007
enhanced,2,New Phytologist,2007
enrichment,1,New Phytologist,2007
environments,1,New Phytologist,2007
epicuticular,1,New Phytologist,2007
ericae,2,New Phytologist,2007
ericoid,2,New Phytologist,2007
estimation,1,New Phytologist,2007
eucalyptus,2,New Phytologist,2007
events,1,New Phytologist,2007
evidence,4,New Phytologist,2007
evolution,4,New Phytologist,2007
evolutionary,2,New Phytologist,2007
exchange,2,New Phytologist,2007
exohydrolase,1,New Phytologist,2007
explain,2,New Phytologist,2007
explicit,1,New Phytologist,2007
exposed,1,New Phytologist,2007
exposure,1,New Phytologist,2007
expressed,1,New Phytologist,2007
expression,2,New Phytologist,2007
extent,1,New Phytologist,2007
extinction,1,New Phytologist,2007
exudation,1,New Phytologist,2007
faces,1,New Phytologist,2007
facilitating,1,New Phytologist,2007
factors,1,New Phytologist,2007
far,2,New Phytologist,2007
farquhar,1,New Phytologist,2007
fast,1,New Phytologist,2007
fern,1,New Phytologist,2007
ferns,1,New Phytologist,2007
fertilization,2,New Phytologist,2007
filamentous,1,New Phytologist,2007
fineroot,1,New Phytologist,2007
fission,1,New Phytologist,2007
fitness,1,New Phytologist,2007
five,1,New Phytologist,2007
flooding,1,New Phytologist,2007
floral,1,New Phytologist,2007
flow,1,New Phytologist,2007
flowering,3,New Phytologist,2007
fluorescens,2,New Phytologist,2007
fluxes,2,New Phytologist,2007
foliar,1,New Phytologist,2007
follow,1,New Phytologist,2007
following,1,New Phytologist,2007
food,1,New Phytologist,2007
forest,1,New Phytologist,2007
forests,3,New Phytologist,2007
formation,1,New Phytologist,2007
formylated,1,New Phytologist,2007
four,2,New Phytologist,2007
fragment,1,New Phytologist,2007
fragmented,1,New Phytologist,2007
free,1,New Phytologist,2007
fructan,1,New Phytologist,2007
ftsz,1,New Phytologist,2007
functional,3,New Phytologist,2007
functions,1,New Phytologist,2007
fungal,2,New Phytologist,2007
fungi,2,New Phytologist,2007
fungus,3,New Phytologist,2007
future,1,New Phytologist,2007
g,1,New Phytologist,2007
gametophytes,1,New Phytologist,2007
gas,2,New Phytologist,2007
gene,7,New Phytologist,2007
generation,1,New Phytologist,2007
genes,1,New Phytologist,2007
genetic,3,New Phytologist,2007
genome,1,New Phytologist,2007
genomes,1,New Phytologist,2007
genomics,1,New Phytologist,2007
genotypes,1,New Phytologist,2007
geographic,1,New Phytologist,2007
geographical,1,New Phytologist,2007
germination,1,New Phytologist,2007
ghdreb,1,New Phytologist,2007
gibberellic,1,New Phytologist,2007
girdling,1,New Phytologist,2007
global,2,New Phytologist,2007
globulus,1,New Phytologist,2007
glycosylation,1,New Phytologist,2007
go,1,New Phytologist,2007
gradient,1,New Phytologist,2007
grains,1,New Phytologist,2007
granules,1,New Phytologist,2007
grasses,1,New Phytologist,2007
grassland,1,New Phytologist,2007
gravity,1,New Phytologist,2007
ground,1,New Phytologist,2007
group,1,New Phytologist,2007
groups,2,New Phytologist,2007
growing,1,New Phytologist,2007
growth,5,New Phytologist,2007
guard,1,New Phytologist,2007
habit,1,New Phytologist,2007
habitat,1,New Phytologist,2007
haplotype,1,New Phytologist,2007
hardwood,2,New Phytologist,2007
has,1,New Phytologist,2007
helper,2,New Phytologist,2007
herbivore,1,New Phytologist,2007
herbivory,1,New Phytologist,2007
heterodichogamous,1,New Phytologist,2007
heterologous,1,New Phytologist,2007
heterotrimeric,1,New Phytologist,2007
high,1,New Phytologist,2007
histological,1,New Phytologist,2007
holy,1,New Phytologist,2007
homeostasis,1,New Phytologist,2007
hordeum,1,New Phytologist,2007
host,1,New Phytologist,2007
how,2,New Phytologist,2007
hummingbird,1,New Phytologist,2007
hybrid,1,New Phytologist,2007
hybridization,2,New Phytologist,2007
hydraulic,2,New Phytologist,2007
hydrogen,1,New Phytologist,2007
hyperaccumulator,2,New Phytologist,2007
hyperaccumulators,1,New Phytologist,2007
hyperpolarization,1,New Phytologist,2007
hyphae,1,New Phytologist,2007
hypothesis,1,New Phytologist,2007
identification,1,New Phytologist,2007
identity,1,New Phytologist,2007
imaging,1,New Phytologist,2007
impact,1,New Phytologist,2007
impedimenta,1,New Phytologist,2007
inbreeding,1,New Phytologist,2007
incompatibility,1,New Phytologist,2007
increases,2,New Phytologist,2007
induce,1,New Phytologist,2007
induced,6,New Phytologist,2007
induces,1,New Phytologist,2007
inducible,1,New Phytologist,2007
infection,1,New Phytologist,2007
infestans,1,New Phytologist,2007
influencing,1,New Phytologist,2007
influx,1,New Phytologist,2007
inhibition,2,New Phytologist,2007
inhibitory,1,New Phytologist,2007
inoculation,1,New Phytologist,2007
intellectual,1,New Phytologist,2007
interact,2,New Phytologist,2007
interpopulation,1,New Phytologist,2007
intertidal,1,New Phytologist,2007
intracuticular,1,New Phytologist,2007
intraspecific,1,New Phytologist,2007
inulin,1,New Phytologist,2007
invasion,2,New Phytologist,2007
invasive,2,New Phytologist,2007
investigation,1,New Phytologist,2007
ion,1,New Phytologist,2007
iron,1,New Phytologist,2007
isoforms,1,New Phytologist,2007
isoprene,1,New Phytologist,2007
isotope,2,New Phytologist,2007
juglandaceae,1,New Phytologist,2007
juglans,1,New Phytologist,2007
juvenile,1,New Phytologist,2007
keckiella,1,New Phytologist,2007
kinase,1,New Phytologist,2007
knight,1,New Phytologist,2007
knot,2,New Phytologist,2007
lability,1,New Phytologist,2007
laccaria,1,New Phytologist,2007
lack,1,New Phytologist,2007
laguncularia,1,New Phytologist,2007
lapse,1,New Phytologist,2007
layers,1,New Phytologist,2007
lead,1,New Phytologist,2007
leading,2,New Phytologist,2007
leads,1,New Phytologist,2007
leaf,9,New Phytologist,2007
leafy,1,New Phytologist,2007
leaves,3,New Phytologist,2007
leguminosarum,1,New Phytologist,2007
length,1,New Phytologist,2007
leptosphaeria,1,New Phytologist,2007
lethal,1,New Phytologist,2007
lignin,1,New Phytologist,2007
ligustrum,1,New Phytologist,2007
like,1,New Phytologist,2007
limits,1,New Phytologist,2007
lipopeptide,1,New Phytologist,2007
liverwort,1,New Phytologist,2007
loading,1,New Phytologist,2007
local,1,New Phytologist,2007
localization,1,New Phytologist,2007
localized,1,New Phytologist,2007
loci,1,New Phytologist,2007
locus,1,New Phytologist,2007
lolium,1,New Phytologist,2007
long,3,New Phytologist,2007
low,3,New Phytologist,2007
lr,1,New Phytologist,2007
lupin,1,New Phytologist,2007
macrocarpon,1,New Phytologist,2007
maculans,1,New Phytologist,2007
madagascariensis,1,New Phytologist,2007
maintenance,1,New Phytologist,2007
male,1,New Phytologist,2007
mandshurica,1,New Phytologist,2007
mangrove,1,New Phytologist,2007
mannose,1,New Phytologist,2007
many,1,New Phytologist,2007
mapping,1,New Phytologist,2007
maritime,1,New Phytologist,2007
mass,2,New Phytologist,2007
massetolide,1,New Phytologist,2007
mating,1,New Phytologist,2007
maturation,1,New Phytologist,2007
meadow,1,New Phytologist,2007
mechanical,1,New Phytologist,2007
mechanism,1,New Phytologist,2007
mechanisms,1,New Phytologist,2007
mechanistic,1,New Phytologist,2007
media,1,New Phytologist,2007
mediated,3,New Phytologist,2007
medicago,1,New Phytologist,2007
mediterranean,1,New Phytologist,2007
medium,1,New Phytologist,2007
mercury,1,New Phytologist,2007
mesocosm,1,New Phytologist,2007
meta,2,New Phytologist,2007
metal,1,New Phytologist,2007
method,1,New Phytologist,2007
methoxyl,1,New Phytologist,2007
microarray,1,New Phytologist,2007
microbes,1,New Phytologist,2007
microbial,1,New Phytologist,2007
microcystin,1,New Phytologist,2007
microsatellite,1,New Phytologist,2007
million,1,New Phytologist,2007
mitotic,1,New Phytologist,2007
mixed,1,New Phytologist,2007
model,3,New Phytologist,2007
modulation,1,New Phytologist,2007
molecular,1,New Phytologist,2007
morphology,2,New Phytologist,2007
mosaic,1,New Phytologist,2007
moss,1,New Phytologist,2007
movement,1,New Phytologist,2007
multiple,2,New Phytologist,2007
murale,1,New Phytologist,2007
mutated,1,New Phytologist,2007
mycorrhiza,2,New Phytologist,2007
mycorrhizal,4,New Phytologist,2007
mycorrhizas,2,New Phytologist,2007
n,2,New Phytologist,2007
nac,1,New Phytologist,2007
napus,1,New Phytologist,2007
native,2,New Phytologist,2007
natural,1,New Phytologist,2007
near,1,New Phytologist,2007
necrotrophic,1,New Phytologist,2007
negatively,1,New Phytologist,2007
neighbouring,1,New Phytologist,2007
nematode,2,New Phytologist,2007
neutral,1,New Phytologist,2007
new,1,New Phytologist,2007
nickel,2,New Phytologist,2007
nicotiana,3,New Phytologist,2007
nicotianamine,1,New Phytologist,2007
nidulans,1,New Phytologist,2007
nine,1,New Phytologist,2007
nitens,1,New Phytologist,2007
nitrate,2,New Phytologist,2007
nitric,3,New Phytologist,2007
nitrogen,3,New Phytologist,2007
nodules,1,New Phytologist,2007
nonindigenous,1,New Phytologist,2007
nonmediterranean,1,New Phytologist,2007
north,1,New Phytologist,2007
northern,2,New Phytologist,2007
not,1,New Phytologist,2007
novel,1,New Phytologist,2007
nrta,1,New Phytologist,2007
nutrient,1,New Phytologist,2007
nutrients,1,New Phytologist,2007
nutrition,1,New Phytologist,2007
occurring,1,New Phytologist,2007
only,1,New Phytologist,2007
ontogeny,1,New Phytologist,2007
opportunities,1,New Phytologist,2007
optimizing,1,New Phytologist,2007
orchid,1,New Phytologist,2007
orchids,1,New Phytologist,2007
orchis,1,New Phytologist,2007
order,1,New Phytologist,2007
origin,2,New Phytologist,2007
origins,2,New Phytologist,2007
orthophosphate,1,New Phytologist,2007
orthostichy,1,New Phytologist,2007
osmotic,1,New Phytologist,2007
other,2,New Phytologist,2007
overexpression,1,New Phytologist,2007
oxide,3,New Phytologist,2007
oxygen,1,New Phytologist,2007
ozone,1,New Phytologist,2007
pairs,1,New Phytologist,2007
paleoclimate,1,New Phytologist,2007
parameters,1,New Phytologist,2007
parasitism,1,New Phytologist,2007
parking,1,New Phytologist,2007
part,1,New Phytologist,2007
participation,1,New Phytologist,2007
past,1,New Phytologist,2007
patens,2,New Phytologist,2007
pathogen,1,New Phytologist,2007
pathway,1,New Phytologist,2007
pathways,1,New Phytologist,2007
pattern,1,New Phytologist,2007
patterns,4,New Phytologist,2007
pea,1,New Phytologist,2007
peatland,1,New Phytologist,2007
pelargonium,2,New Phytologist,2007
penstemon,1,New Phytologist,2007
pepc,1,New Phytologist,2007
peptides,1,New Phytologist,2007
per,1,New Phytologist,2007
perennial,2,New Phytologist,2007
permeable,1,New Phytologist,2007
persistence,1,New Phytologist,2007
phaseolus,1,New Phytologist,2007
phenotypic,2,New Phytologist,2007
phloroglucinol,1,New Phytologist,2007
phosphoenolpyruvate,1,New Phytologist,2007
phosphorus,2,New Phytologist,2007
photoacclimatory,1,New Phytologist,2007
photosynthesis,5,New Phytologist,2007
photosynthetic,3,New Phytologist,2007
phragmites,1,New Phytologist,2007
phylogenetic,1,New Phytologist,2007
physcomitrella,2,New Phytologist,2007
physical,1,New Phytologist,2007
physiological,1,New Phytologist,2007
phytophthora,1,New Phytologist,2007
pinnatifolius,1,New Phytologist,2007
placement,1,New Phytologist,2007
plant,12,New Phytologist,2007
plantaginaceae,1,New Phytologist,2007
plantago,1,New Phytologist,2007
plants,6,New Phytologist,2007
plasmamembrane,1,New Phytologist,2007
plasticity,5,New Phytologist,2007
pollen,4,New Phytologist,2007
pollination,1,New Phytologist,2007
polymorphisms,1,New Phytologist,2007
polyploids,1,New Phytologist,2007
pools,1,New Phytologist,2007
populus,1,New Phytologist,2007
post,1,New Phytologist,2007
potential,1,New Phytologist,2007
precipitation,1,New Phytologist,2007
predictable,1,New Phytologist,2007
predicting,1,New Phytologist,2007
presence,1,New Phytologist,2007
present,1,New Phytologist,2007
priming,1,New Phytologist,2007
procambium,1,New Phytologist,2007
produces,1,New Phytologist,2007
progenies,1,New Phytologist,2007
progress,1,New Phytologist,2007
promotes,1,New Phytologist,2007
prophylactively,1,New Phytologist,2007
protein,2,New Phytologist,2007
proxy,1,New Phytologist,2007
prunus,1,New Phytologist,2007
pseudomonas,2,New Phytologist,2007
purpurea,1,New Phytologist,2007
quantifying,1,New Phytologist,2007
quantitative,1,New Phytologist,2007
quickly,1,New Phytologist,2007
r,1,New Phytologist,2007
racemosa,1,New Phytologist,2007
radiation,1,New Phytologist,2007
ramets,1,New Phytologist,2007
rapid,2,New Phytologist,2007
ratio,2,New Phytologist,2007
ratios,2,New Phytologist,2007
receptor,1,New Phytologist,2007
receptors,1,New Phytologist,2007
recognition,1,New Phytologist,2007
recruitment,2,New Phytologist,2007
red,5,New Phytologist,2007
redox,1,New Phytologist,2007
reduction,1,New Phytologist,2007
reed,2,New Phytologist,2007
regardless,1,New Phytologist,2007
regenerated,1,New Phytologist,2007
regimes,1,New Phytologist,2007
regulated,1,New Phytologist,2007
regulation,2,New Phytologist,2007
related,1,New Phytologist,2007
relationships,3,New Phytologist,2007
relative,1,New Phytologist,2007
release,1,New Phytologist,2007
relies,1,New Phytologist,2007
reproductive,1,New Phytologist,2007
research,1,New Phytologist,2007
residence,1,New Phytologist,2007
resistance,1,New Phytologist,2007
respiration,2,New Phytologist,2007
respiratory,1,New Phytologist,2007
response,4,New Phytologist,2007
responses,7,New Phytologist,2007
reveals,2,New Phytologist,2007
revisited,1,New Phytologist,2007
rhizobium,1,New Phytologist,2007
rhizoscyphus,2,New Phytologist,2007
rhizosphere,1,New Phytologist,2007
rice,2,New Phytologist,2007
rich,1,New Phytologist,2007
role,2,New Phytologist,2007
root,8,New Phytologist,2007
roots,4,New Phytologist,2007
rotational,1,New Phytologist,2007
rubber,1,New Phytologist,2007
rules,1,New Phytologist,2007
s,4,New Phytologist,2007
salicylic,1,New Phytologist,2007
salt,2,New Phytologist,2007
samsun,1,New Phytologist,2007
sc,1,New Phytologist,2007
scale,2,New Phytologist,2007
scales,1,New Phytologist,2007
scaling,1,New Phytologist,2007
scr,1,New Phytologist,2007
seagrass,1,New Phytologist,2007
seaweed,1,New Phytologist,2007
secondary,1,New Phytologist,2007
seed,1,New Phytologist,2007
seedling,2,New Phytologist,2007
seedlings,2,New Phytologist,2007
seeds,1,New Phytologist,2007
segregating,1,New Phytologist,2007
self,3,New Phytologist,2007
senecio,2,New Phytologist,2007
senescence,2,New Phytologist,2007
sensing,1,New Phytologist,2007
sensitive,1,New Phytologist,2007
sensors,1,New Phytologist,2007
sentinels,1,New Phytologist,2007
sequence,2,New Phytologist,2007
sequences,1,New Phytologist,2007
sequestration,1,New Phytologist,2007
shade,1,New Phytologist,2007
shoot,3,New Phytologist,2007
shoots,1,New Phytologist,2007
shows,2,New Phytologist,2007
shrubs,1,New Phytologist,2007
side,1,New Phytologist,2007
signal,1,New Phytologist,2007
signalling,1,New Phytologist,2007
silencing,2,New Phytologist,2007
simulating,1,New Phytologist,2007
simulation,1,New Phytologist,2007
six,1,New Phytologist,2007
skewing,1,New Phytologist,2007
smoke,1,New Phytologist,2007
society,1,New Phytologist,2007
sodium,1,New Phytologist,2007
soils,1,New Phytologist,2007
solanaceae,1,New Phytologist,2007
solanum,1,New Phytologist,2007
some,1,New Phytologist,2007
space,2,New Phytologist,2007
spatial,1,New Phytologist,2007
spatially,1,New Phytologist,2007
species,11,New Phytologist,2007
specific,1,New Phytologist,2007
specifically,1,New Phytologist,2007
specificity,1,New Phytologist,2007
specifying,1,New Phytologist,2007
spring,1,New Phytologist,2007
stable,2,New Phytologist,2007
stages,2,New Phytologist,2007
starch,1,New Phytologist,2007
statistical,1,New Phytologist,2007
steam,1,New Phytologist,2007
stem,1,New Phytologist,2007
storage,1,New Phytologist,2007
stress,3,New Phytologist,2007
stresses,1,New Phytologist,2007
study,4,New Phytologist,2007
styracaceae,1,New Phytologist,2007
sub,1,New Phytologist,2007
subarctic,1,New Phytologist,2007
subcellular,1,New Phytologist,2007
submergence,1,New Phytologist,2007
substrate,1,New Phytologist,2007
success,1,New Phytologist,2007
succession,1,New Phytologist,2007
sucrose,1,New Phytologist,2007
sunshine,1,New Phytologist,2007
surface,1,New Phytologist,2007
swamping,1,New Phytologist,2007
sweden,1,New Phytologist,2007
symbiont,1,New Phytologist,2007
symbiosis,1,New Phytologist,2007
symmetry,1,New Phytologist,2007
synchronous,1,New Phytologist,2007
synergistically,1,New Phytologist,2007
system,2,New Phytologist,2007
systematic,1,New Phytologist,2007
tabacum,1,New Phytologist,2007
take,1,New Phytologist,2007
tale,1,New Phytologist,2007
technique,1,New Phytologist,2007
temperate,1,New Phytologist,2007
temperature,5,New Phytologist,2007
term,2,New Phytologist,2007
terpenes,1,New Phytologist,2007
terrestrial,2,New Phytologist,2007
testing,1,New Phytologist,2007
testudinum,1,New Phytologist,2007
thalassia,1,New Phytologist,2007
than,1,New Phytologist,2007
thlaspi,2,New Phytologist,2007
thoughts,1,New Phytologist,2007
three,3,New Phytologist,2007
through,1,New Phytologist,2007
tillering,1,New Phytologist,2007
time,4,New Phytologist,2007
times,1,New Phytologist,2007
tobacco,1,New Phytologist,2007
tolerance,5,New Phytologist,2007
tomato,1,New Phytologist,2007
tomorrow,1,New Phytologist,2007
toxin,1,New Phytologist,2007
trait,2,New Phytologist,2007
traits,2,New Phytologist,2007
transcriptional,1,New Phytologist,2007
transcriptome,2,New Phytologist,2007
transcriptomic,1,New Phytologist,2007
translational,1,New Phytologist,2007
transporter,1,New Phytologist,2007
tree,5,New Phytologist,2007
trees,1,New Phytologist,2007
trigger,1,New Phytologist,2007
triticum,1,New Phytologist,2007
tropical,4,New Phytologist,2007
tropics,1,New Phytologist,2007
tundra,1,New Phytologist,2007
turnover,1,New Phytologist,2007
two,3,New Phytologist,2007
types,1,New Phytologist,2007
up,2,New Phytologist,2007
upon,1,New Phytologist,2007
used,1,New Phytologist,2007
using,1,New Phytologist,2007
uv,1,New Phytologist,2007
vaccinium,1,New Phytologist,2007
vacuolar,1,New Phytologist,2007
variation,4,New Phytologist,2007
varying,1,New Phytologist,2007
veronica,1,New Phytologist,2007
vessel,1,New Phytologist,2007
viciae,1,New Phytologist,2007
virtual,1,New Phytologist,2007
virus,2,New Phytologist,2007
von,1,New Phytologist,2007
vulgare,2,New Phytologist,2007
vulgaris,1,New Phytologist,2007
wall,2,New Phytologist,2007
warming,3,New Phytologist,2007
water,1,New Phytologist,2007
wave,1,New Phytologist,2007
waving,1,New Phytologist,2007
wax,1,New Phytologist,2007
way,1,New Phytologist,2007
weakness,1,New Phytologist,2007
wheat,1,New Phytologist,2007
when,1,New Phytologist,2007
which,1,New Phytologist,2007
white,2,New Phytologist,2007
widespread,1,New Phytologist,2007
willows,1,New Phytologist,2007
wisconsin,1,New Phytologist,2007
within,2,New Phytologist,2007
wood,1,New Phytologist,2007
years,1,New Phytologist,2007
yeast,1,New Phytologist,2007
yields,1,New Phytologist,2007
z,1,New Phytologist,2007
zinc,1,New Phytologist,2007
abaxial,1,New Phytologist,2008
aberrant,1,New Phytologist,2008
abies,1,New Phytologist,2008
abiotic,1,New Phytologist,2008
abolished,1,New Phytologist,2008
abscisic,5,New Phytologist,2008
absorption,2,New Phytologist,2008
abundance,1,New Phytologist,2008
accessions,2,New Phytologist,2008
accident,1,New Phytologist,2008
acclimation,1,New Phytologist,2008
accumulation,9,New Phytologist,2008
ace,1,New Phytologist,2008
acer,2,New Phytologist,2008
acetate,1,New Phytologist,2008
achieved,1,New Phytologist,2008
acid,9,New Phytologist,2008
acidic,1,New Phytologist,2008
acidosis,1,New Phytologist,2008
acids,1,New Phytologist,2008
aconitum,1,New Phytologist,2008
acoustic,1,New Phytologist,2008
across,2,New Phytologist,2008
acs,1,New Phytologist,2008
act,1,New Phytologist,2008
actin,3,New Phytologist,2008
actinomorphy,1,New Phytologist,2008
activated,1,New Phytologist,2008
activating,1,New Phytologist,2008
activation,1,New Phytologist,2008
active,2,New Phytologist,2008
activity,6,New Phytologist,2008
acyl,1,New Phytologist,2008
adaptation,6,New Phytologist,2008
adaptive,4,New Phytologist,2008
adaxial,1,New Phytologist,2008
addition,2,New Phytologist,2008
advantages,1,New Phytologist,2008
adventitious,1,New Phytologist,2008
affect,2,New Phytologist,2008
affecting,1,New Phytologist,2008
affects,2,New Phytologist,2008
affinity,2,New Phytologist,2008
african,2,New Phytologist,2008
after,2,New Phytologist,2008
against,2,New Phytologist,2008
age,1,New Phytologist,2008
agrobacterium,1,New Phytologist,2008
alaska,1,New Phytologist,2008
alba,2,New Phytologist,2008
albus,1,New Phytologist,2008
alfalfa,1,New Phytologist,2008
alga,1,New Phytologist,2008
algal,1,New Phytologist,2008
aliens,1,New Phytologist,2008
alignment,1,New Phytologist,2008
aliphatic,1,New Phytologist,2008
alismataceae,1,New Phytologist,2008
all,1,New Phytologist,2008
allee,1,New Phytologist,2008
allelic,1,New Phytologist,2008
allelopathy,1,New Phytologist,2008
alleviates,2,New Phytologist,2008
allocation,3,New Phytologist,2008
allometry,1,New Phytologist,2008
allopolyploid,1,New Phytologist,2008
along,1,New Phytologist,2008
alpine,1,New Phytologist,2008
alter,1,New Phytologist,2008
alterations,1,New Phytologist,2008
altered,2,New Phytologist,2008
